Name,Status,Place of Birth,Age,Height,Weight,Octagon Debut,Fighting style,Reach,Trains at,Leg reach
Shane Howell,Not Fighting,United States,39,68.00,125.00,"Jun. 28, 2014",,69.00,,
Roger Huerta,Not Fighting,"Los Angeles, United States",40,69.00,156.00,"Sep. 23, 2006",,,,
Alex Hunter,Retired,United States,,0.00,0.00,"Jul. 27, 1997",,,,
Solomon Hutcherson,Not Fighting,"Racine, United States",50,71.00,186.00,"Jun. 24, 2006",,,,
Tae Hyun Bang,Not Fighting,South Korea,40,69.00,155.00,"Jan. 4, 2014",,71.00,"Korean Top Team - Seoul, South Korea",40.00
Dong Hyun Ma,Not Fighting,South Korea,34,71.00,156.00,"May. 24, 2008",,70.50,"Team MAD Busan, South Korea",42.50
Minoki Ichihara,Not Fighting,Japan,,0.00,0.00,"Mar. 11, 1994",,,,
Valeri Ignatov,Not Fighting,United States,,70.00,0.00,"Mar. 5, 1999",,,,
Fabiano Iha,Not Fighting,Brazil,52,68.00,154.00,"May. 7, 1999",,,,
Brad Imes,Not Fighting,"Maryville, United States",46,79.00,261.00,"Nov. 5, 2005",,,,
Chris Indich,Not Fighting,Australia,36,70.00,170.00,"Nov. 14, 2024",,,,
James Irvin,Not Fighting,"Citrus Heights, United States",44,74.00,205.00,"Feb. 5, 2005",,,,
Wallid Ismail,Not Fighting,"Rio de Janeiro, Brazil",55,70.00,0.00,"Feb. 7, 1997",,,,
Yoislandy Izquierdo,Not Fighting,Cuba,39,71.00,156.00,"Apr. 14, 2012",,,,
Yves Jabouin,Not Fighting,United States,44,67.00,135.50,"Apr. 30, 2011",,68.00,,
Justin James,Not Fighting,"Omaha, United States",46,70.00,155.00,"Oct. 14, 2006",,,,
Steve Jennum,Not Fighting,"Omaha, United States",,0.00,0.00,"Sep. 9, 1994",,,,
Ryan Jensen,Not Fighting,"Omaha, United States",45,73.00,185.00,"Aug. 25, 2007",,,,
Chanmi Jeon,Not Fighting,South Korea,25,65.00,116.00,"Jun. 11, 2017",,67.00,,39.00
Maciej Jewtuszko,Released,"Szczecin, Poland",,72.00,155.00,"Nov. 13, 2024",,,,
Ronald Jhun,Not Fighting,"Honolulu, United States",52,71.00,170.00,"Aug. 21, 2004",,,,
Art Jimmerson,Not Fighting,United States,60,73.00,196.00,"Nov. 12, 1993",,,,
Brian Johnston,Not Fighting,"San Jose, United States",,0.00,0.00,"Jul. 12, 1996",,,,
Jocelyn Jones Lybarger,Not Fighting,"Litchfield Park, United States",37,67.00,115.00,"Dec. 12, 2015",,64.00,"MMA LAB - Glendale, AZ",38.00
Ivan Jorge,Not Fighting,Brazil,42,69.00,154.00,"Sep. 4, 2013",,74.00,,
Scott Jorgensen,Not Fighting,United States,40,65.00,135.50,"Jun. 5, 2011",,66.00,,37.00
Jeff Joslin,Not Fighting,"Hamilton, Canada",48,72.00,170.00,"Dec. 13, 2006",,,,
Carli Judice,,"Lafayette, United States",25,67.00,125.50,"Jun. 15, 2024",,68.00,,38.00
Steve Judson,Not Fighting,United States,,0.00,0.00,"Sep. 24, 1999",,,,
Luke Jumeau,Not Fighting,Australia,35,71.00,171.00,"Jun. 11, 2017",,72.00,,40.50
Da Un Jung,Not Fighting,"Seoul, South Korea",30,76.00,205.00,"Aug. 31, 2019",MMA,78.50,"Korean Top Team - Seoul, South Korea",40.50
Scott Junk,Not Fighting,"Kailua, United States",44,73.00,258.00,"Sep. 22, 2007",,,,
Sirwan Kakai,Not Fighting,"Romadi, Sweden",33,66.00,136.00,"Jun. 27, 2015",,66.00,,
Martin Kampmann,Retired,"Arhus, Denmark",41,72.00,170.00,"Aug. 17, 2006",,,,
Denis Kang,Not Fighting,"St. Pierre &amp; Miquelon, France",45,71.00,185.00,"Jan. 17, 2009",,,,
Alex Karalexis,Not Fighting,United States,,68.00,171.00,"Apr. 9, 2005",,,,
Nadia Kassem,Not Fighting,Australia,27,65.00,126.00,"Nov. 18, 2017",,66.00,,38.50
Sarah Kaufman,Not Fighting,"Victoria, Canada",37,65.00,136.00,"Mar. 4, 2012",,67.00,"Zuma Martial Arts - Victoria, BC",39.00
Julie Kedzie,Not Fighting,United States,,65.00,135.00,"Aug. 19, 2012",,64.00,,
Cj Keith,Not Fighting,United States,36,72.00,156.00,"Jun. 23, 2012",,,,
Chris Kelades,Not Fighting,"Cole Harbour, Canada",42,67.00,126.00,"Oct. 4, 2014",,68.00,,38.00
Tony Kelley,Not Fighting,"Shreveport, United States",36,69.00,137.50,"Aug. 15, 2020",Freestyle,70.00,Soul Fighters,40.00
Mark Kerr,Not Fighting,"Phoenix, United States",54,72.00,250.00,"Jul. 27, 1997",,,,
Rustam Khabilov,Not Fighting,"Pech, Russia",36,68.00,171.00,"Dec. 16, 2012",,73.00,,40.50
Sergey Khandozhko,Not Fighting,"Tver Oblast, Russia",31,73.00,169.50,"Jun. 1, 2019",Karate,74.00,"Xtreme Couture - Las Vegas, NV",40.00
Rob Kimmons,Not Fighting,United States,42,70.00,185.00,"Jun. 21, 2008",,,,
Mike King,Not Fighting,United States,,75.00,185.00,"Jul. 19, 2014",,75.00,,
Kyle Kingsbury,Not Fighting,United States,41,76.00,204.50,"Dec. 13, 2008",,76.00,,
Koji Kitao,Not Fighting,Japan,59,0.00,0.00,"May. 17, 1996",,,,
Brad Kohler,Not Fighting,"Bloomington, United States",59,0.00,0.00,"Sep. 24, 1999",,,,
John Kolosci,Not Fighting,"Portage, United States",48,71.00,170.00,"Dec. 9, 2007",,,,
Cheick Kongo,Not Fighting,"Paris, France",48,76.00,237.00,"Jul. 8, 2006",,,,
Jon Koppenhaver,Not Fighting,"Simi Valley, United States",41,71.00,170.00,"Dec. 9, 2007",,,,
Bruno Korea,Not Fighting,"Brasilia, Brazil",31,66.00,125.50,"Nov. 7, 2015",,65.50,"TFT - Rio De Janeiro, Brazil",36.00
Naoyuki Kotani,Not Fighting,"Kanagawa, Japan",,68.00,156.00,"Apr. 5, 2007",,,,
Pascal Krauss,Not Fighting,"Breisach, Germany",36,73.00,170.00,"Nov. 13, 2010",,72.00,,
Michael Kuiper,Not Fighting,Netherlands,34,72.00,185.00,"Feb. 4, 2012",,,,
Anton Kuivanen,Not Fighting,United States,39,68.00,156.00,"Feb. 15, 2012",,72.00,,
Keigo Kunihara,Not Fighting,Japan,,72.00,228.00,"Oct. 7, 2005",,,,
Mike Kyle,Not Fighting,"Boise, United States",43,74.00,238.00,"Apr. 2, 2004",,,,
Ryan Laflare,Not Fighting,United States,39,73.00,171.00,"Apr. 6, 2013",,74.00,,42.50
Noad Lahat,Not Fighting,"petach tikva, Israel",39,69.00,145.00,"Mar. 24, 2014",,69.00,,38.00
Tina Lahdemaki,Retired,"Polisen / Raumo, Finland",35,62.00,115.00,"Jul. 16, 2014",,62.00,RNC Sport Club Hyvinkää,
Tim Lajcik,Not Fighting,"Redwood, United States",57,73.00,225.00,"Jul. 16, 1999",,,,
Jason Lambert,Not Fighting,"Long Beach, United States",48,70.00,185.00,"Mar. 4, 2006",,,,
Anthony Lapsley,Not Fighting,United States,43,69.00,171.00,"Nov. 16, 2013",,71.00,,
Icho Larenas,Not Fighting,"Quebec City, Canada",43,75.00,233.00,"Mar. 4, 2006",,,,
Jeremy Larsen,Not Fighting,"Tucson, United States",39,70.00,145.50,"Jun. 2, 2012",,,,
Brock Larson,Not Fighting,"Brainerd, United States",45,71.00,171.00,"Oct. 3, 2005",,,,
Sione Latu,Not Fighting,United States,,0.00,0.00,"Mar. 5, 1999",,,,
Jenel Lausa,Not Fighting,Philippines,34,65.00,126.00,"Oct. 15, 2016",,68.50,,35.00
Tom Lawlor,Not Fighting,"Fall River, United States",40,72.00,204.50,"Dec. 13, 2008",,74.00,"Syndicate MMA - Las Vegas, NV",41.00
Valmir Lazaro,Not Fighting,Brazil,37,72.00,155.00,"Aug. 23, 2014",,73.00,Nova Uniao - Rio de Janeiro,42.00
Chris Leben,Not Fighting,"Portland, United States",42,71.00,185.50,"Apr. 9, 2005",,74.00,,
Mickael Lebout,Not Fighting,United States,,71.00,155.00,"Apr. 11, 2015",,73.00,,39.00
Branden Lee Hinkle,Not Fighting,"Jefferson, United States",49,74.00,205.00,"Oct. 7, 2005",,,,
Felix Lee Mitchell,Not Fighting,United States,,0.00,0.00,"Sep. 9, 1994",,,,
Jesse Lennox,Not Fighting,"Cedar Rapids, United States",41,69.00,170.00,"Aug. 8, 2009",,,,
Kimo Leopoldo,Not Fighting,United States,55,73.00,244.00,"Sep. 9, 1994",,,,
Brock Lesnar,Retired,"Webster, United States",45,75.00,265.50,"Feb. 2, 2008",,81.00,,44.00
Frank Lester,Not Fighting,"Temecula, United States",39,71.00,170.00,"Jun. 20, 2009",,,,
Justin Levens,Not Fighting,"Philadelphia, United States",43,70.00,186.00,"Apr. 15, 2006",,,,
Marcus Levesseur,Not Fighting,United States,40,69.00,155.40,"May. 16, 2012",,,,
David Levicki,Not Fighting,United States,,0.00,0.00,"Mar. 11, 1994",,,,
Jess Liaudin,Not Fighting,"Evry, France",,69.00,155.00,"Apr. 21, 2007",,,,
Chuck Liddell,Retired,,53,,205.00,"May. 15, 1998",,,,
Zach Light,Not Fighting,"Lisbon, United States",49,68.00,168.00,"Jun. 22, 2002",,,,
Matt Lindland,Not Fighting,United States,53,72.00,185.00,"Dec. 16, 2000",,,,
Jake Lindsey,Not Fighting,United States,36,71.00,156.00,"Jun. 7, 2014",,71.00,,
Lucio Linhares,Not Fighting,"Ipatinga, Brazil",49,74.00,184.00,"Dec. 12, 2009",,,,
Zhang Lipeng,Not Fighting,United States,33,71.00,155.00,"Mar. 1, 2014",,71.00,,
